epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5146,0.7244,2.4527,0.99121,0.97739,0.32475,0.6714,0.59055,0.64769,1.54072,0.91219,0.000412736,0.000412736,0.000412736
2,82.3459,0.63579,1.37326,0.90091,0.7568,0.63537,0.67802,0.55148,0.63875,0.98456,0.88603,0.000821191,0.000821191,0.000821191
3,124.476,0.59005,1.11564,0.90165,0.74863,0.89898,0.87403,0.62478,0.59256,0.71425,0.86287,0.0012214,0.0012214,0.0012214
4,165.325,0.5551,0.89392,0.88691,0.84287,0.98118,0.96207,0.75108,0.53183,0.54229,0.83855,0.00121287,0.00121287,0.00121287
5,204.183,0.55503,0.76388,0.87461,0.6502,0.92088,0.96141,0.73464,0.54604,0.52004,0.85884,0.0012005,0.0012005,0.0012005
6,243.027,0.5471,0.64587,0.87836,0.54326,0.97979,0.89961,0.74778,0.5296,0.61472,0.84937,0.00118812,0.00118812,0.00118812
7,283.233,0.48088,0.54325,0.85591,0.8792,0.87293,0.98172,0.79503,0.50003,0.396,0.84269,0.00117575,0.00117575,0.00117575
8,323.348,0.49712,0.50343,0.85763,0.74084,0.92946,0.95636,0.78285,0.50404,0.43922,0.83822,0.00116337,0.00116337,0.00116337
9,363.016,0.46674,0.47174,0.84886,0.76101,0.93912,0.95515,0.72425,0.48903,0.39107,0.83607,0.001151,0.001151,0.001151
10,402.645,0.44135,0.4282,0.838,0.62152,0.95669,0.89239,0.66182,0.47851,0.46472,0.83842,0.00113863,0.00113863,0.00113863
11,441.989,0.44254,0.39721,0.84727,0.77783,0.94525,0.98366,0.84362,0.45268,0.35424,0.82891,0.00112625,0.00112625,0.00112625
12,481.177,0.43161,0.38162,0.84868,0.93724,0.97529,0.98426,0.87843,0.446,0.33538,0.82067,0.00111388,0.00111388,0.00111388
13,520.467,0.42237,0.35106,0.84661,0.82297,0.94745,0.98442,0.86823,0.474,0.3458,0.8323,0.0011015,0.0011015,0.0011015
14,559.835,0.42775,0.34575,0.83989,0.79051,0.93438,0.98123,0.86063,0.41017,0.38773,0.81463,0.00108913,0.00108913,0.00108913
15,598.782,0.40909,0.34665,0.82701,0.7044,0.91327,0.89974,0.78137,0.41642,0.43376,0.82119,0.00107675,0.00107675,0.00107675
16,638.127,0.40485,0.33166,0.83707,0.94396,0.93752,0.97604,0.82195,0.40407,0.29382,0.81965,0.00106437,0.00106437,0.00106437
17,677.231,0.37582,0.31286,0.83371,0.72609,0.95371,0.984,0.85243,0.38883,0.33549,0.81995,0.001052,0.001052,0.001052
18,716.147,0.38055,0.30191,0.82177,0.77942,0.95576,0.97634,0.8562,0.40218,0.3278,0.8201,0.00103962,0.00103962,0.00103962
19,755.313,0.39129,0.30179,0.83122,0.78025,0.93841,0.97721,0.8212,0.41234,0.33214,0.82495,0.00102725,0.00102725,0.00102725
20,794.617,0.3987,0.29658,0.82542,0.69414,0.96597,0.85787,0.71817,0.39707,0.3194,0.81635,0.00101488,0.00101488,0.00101488
21,833.704,0.37282,0.28735,0.829,0.74257,0.95574,0.9639,0.82855,0.37574,0.31949,0.81512,0.0010025,0.0010025,0.0010025
22,872.958,0.35949,0.26958,0.82495,0.79141,0.95978,0.92462,0.80577,0.40595,0.29918,0.82118,0.000990125,0.000990125,0.000990125
23,914.905,0.36873,0.26746,0.82614,0.71197,0.99265,0.81151,0.7601,0.39178,0.36381,0.8177,0.00097775,0.00097775,0.00097775
24,954.24,0.35255,0.25941,0.82157,0.74428,0.9578,0.95663,0.80246,0.39515,0.32499,0.82092,0.000965375,0.000965375,0.000965375
25,994.23,0.34333,0.25746,0.81407,0.73734,0.96099,0.9204,0.8397,0.36952,0.29793,0.81747,0.000953,0.000953,0.000953
26,1034.78,0.34297,0.26374,0.81411,0.79691,0.9948,0.98431,0.85916,0.37566,0.2947,0.81484,0.000940625,0.000940625,0.000940625
27,1075.14,0.33137,0.25511,0.81615,0.69565,0.9959,0.92915,0.79916,0.37769,0.35484,0.82359,0.00092825,0.00092825,0.00092825
28,1115.16,0.34321,0.26178,0.81852,0.78044,0.93895,0.87359,0.84153,0.36526,0.29173,0.81809,0.000915875,0.000915875,0.000915875
29,1156.12,0.33162,0.24522,0.82445,0.93459,0.97975,0.98905,0.89151,0.36008,0.27834,0.81199,0.0009035,0.0009035,0.0009035
30,1198.06,0.32187,0.23715,0.81031,0.91179,0.98968,0.98987,0.9071,0.35488,0.26234,0.80687,0.000891125,0.000891125,0.000891125
31,1238.23,0.32193,0.23175,0.82034,0.9259,0.95806,0.98708,0.92212,0.37425,0.26862,0.81687,0.00087875,0.00087875,0.00087875
32,1278.77,0.31317,0.23071,0.80594,0.94028,0.95726,0.98604,0.91992,0.35922,0.2928,0.81521,0.000866375,0.000866375,0.000866375
33,1319.42,0.31978,0.23367,0.80896,0.93153,0.95104,0.98453,0.89226,0.36888,0.26662,0.8166,0.000854,0.000854,0.000854
34,1358.78,0.3193,0.23087,0.81137,0.91002,0.95235,0.98932,0.90372,0.36866,0.25896,0.81709,0.000841625,0.000841625,0.000841625
35,1397.98,0.29822,0.22514,0.80424,0.8442,0.97012,0.9905,0.86213,0.36356,0.2771,0.81389,0.00082925,0.00082925,0.00082925
36,1437.28,0.31942,0.23839,0.81484,0.92448,0.98021,0.98974,0.89693,0.35772,0.30118,0.80672,0.000816875,0.000816875,0.000816875
37,1476.77,0.30475,0.22059,0.80823,0.93111,0.98581,0.99151,0.92387,0.36943,0.26433,0.81327,0.0008045,0.0008045,0.0008045
38,1516.3,0.3086,0.22164,0.80551,0.83004,0.99181,0.99215,0.91375,0.38658,0.28795,0.83654,0.000792125,0.000792125,0.000792125
39,1555.75,0.29543,0.21625,0.80963,0.82539,0.9843,0.93673,0.85159,0.36714,0.27955,0.82627,0.00077975,0.00077975,0.00077975
40,1595,0.28925,0.21187,0.80897,0.94519,0.99004,0.99139,0.89624,0.33957,0.24183,0.81038,0.000767375,0.000767375,0.000767375
41,1634.34,0.28368,0.20335,0.80532,0.95351,0.95424,0.99009,0.91518,0.35526,0.25927,0.81291,0.000755,0.000755,0.000755
42,1673.68,0.28508,0.20778,0.8009,0.9221,0.95549,0.99223,0.92475,0.35549,0.25901,0.81603,0.000742625,0.000742625,0.000742625
43,1712.92,0.28523,0.21762,0.79934,0.94489,0.99378,0.98868,0.88424,0.34062,0.25686,0.80865,0.00073025,0.00073025,0.00073025
44,1752.46,0.28487,0.2051,0.81267,0.92678,0.97672,0.98929,0.90392,0.3395,0.25308,0.81276,0.000717875,0.000717875,0.000717875
45,1791.51,0.28227,0.20404,0.80289,0.92897,0.98054,0.98963,0.85026,0.3447,0.24953,0.81414,0.0007055,0.0007055,0.0007055
46,1830.41,0.27167,0.20118,0.79521,0.94379,0.99198,0.98961,0.90282,0.33653,0.25955,0.80584,0.000693125,0.000693125,0.000693125
47,1869.86,0.27567,0.19582,0.80085,0.93963,0.9939,0.99124,0.89429,0.33137,0.25321,0.80983,0.00068075,0.00068075,0.00068075
48,1908.78,0.2566,0.19059,0.7941,0.85481,0.98385,0.99119,0.90416,0.32689,0.25116,0.80182,0.000668375,0.000668375,0.000668375
49,1948.12,0.28127,0.20227,0.79678,0.93286,0.98299,0.99204,0.88698,0.34988,0.26245,0.81026,0.000656,0.000656,0.000656
50,1986.87,0.27084,0.19384,0.80175,0.94543,0.98542,0.98991,0.91965,0.33337,0.24106,0.80619,0.000643625,0.000643625,0.000643625
51,2025.87,0.2685,0.19294,0.79799,0.90716,0.95681,0.99108,0.83681,0.33436,0.26623,0.80479,0.00063125,0.00063125,0.00063125
